user_id,signup_date,plan_tier,company_size,region,industry,acquisition_channel,is_enterprise,churned_30d,churned_90d,downgraded,expansion_event,signup_month
238bf0af-1f71-45e4-a47d-dcb5db33f71b,2025-04-11,standard,1-10,,education,seo,False,0,0,0,0,2025-04
3ea81032-dd9b-4ce2-bdf4-6a99c01fcff0,2025-05-12,free,200+,,energy,outbound,False,0,0,0,0,2025-05
12de9c20-5bd4-4251-adde-dd07eaa82e8c,2024-12-27,free,11-50,EU,finance,seo,False,0,0,0,1,2024-12
904f47f7-6f21-41b9-b031-86dd264376b3,2025-05-04,free,51-200,,transport,partner,False,0,0,0,0,2025-05
cb50662c-fd0a-4f34-97cd-21889daea5ba,2024-11-03,standard,51-200,LATAM,education,seo,False,0,0,0,0,2024-11
be03b649-cf39-4d32-8f00-1f815f37dd48,2025-05-05,free,11-50,EU,telecom,outbound,False,0,0,0,1,2025-05
43abfdef-959d-4bca-8cab-7fcde47674f8,2024-12-10,free,1-10,APAC,transport,ads,False,1,0,0,1,2024-12
7b182f04-f51b-4b1e-9ae5-041b11ecb7e1,2025-06-25,free,51-200,,healthcare,seo,False,0,0,0,0,2025-06
9a9f4efd-a9b8-4c08-b6d9-ab2f6fae50c3,2025-05-21,premium,1-10,,healthcare,outbound,False,0,0,0,1,2025-05
e2499822-cb9e-43ba-94cf-8e6c401dc77b,2025-06-19,standard,51-200,,finance,partner,False,0,0,0,0,2025-06
b372f024-4552-4425-b4cc-2648659c34d1,2025-05-30,standard,11-50,,transport,partner,False,0,0,0,0,2025-05
38390e0a-f250-454e-9e17-f1cab08d12c3,2025-01-11,free,200+,,media,partner,False,1,0,0,0,2025-01
6ca9597e-bac6-4a5d-8053-749f13ed51cc,2024-05-02,standard,1-10,APAC,finance,outbound,False,0,0,0,1,2024-05
6e02546d-0ee6-4462-927b-e85dc2f0b729,2025-04-03,free,1-10,APAC,transport,seo,False,0,0,0,0,2025-04
a70ad2e2-ee15-46d4-b366-fe59d0be9a7d,2024-08-24,free,11-50,EU,transport,seo,False,1,0,0,1,2024-08
4468d1d2-c326-45f3-b216-8bd045100611,2025-05-22,free,11-50,,energy,seo,False,0,0,0,0,2025-05
46a4a16b-0c83-41d4-b11e-26b85d04bd1e,2024-11-22,premium,1-10,EU,software,ads,False,0,0,0,1,2024-11
134abd5b-34c3-44d2-b0e0-6122ecf53239,2024-03-12,free,51-200,,media,ads,False,1,0,0,1,2024-03
20b64fbf-5eb8-4bd3-b590-794ebde39d71,2024-06-08,premium,11-50,APAC,software,outbound,False,0,0,0,1,2024-06
1b00c1ef-4c20-4627-9640-2a02a092ea72,2024-06-18,standard,11-50,EU,manufacturing,ads,False,0,0,0,0,2024-06
a2e5539f-9e33-410e-81ae-d9aa388cc893,2025-06-13,free,1-10,APAC,software,ads,False,0,0,0,0,2025-06
d62fdcdf-bd2e-48dd-9105-a918c421f2b1,2025-03-25,free,51-200,EU,energy,outbound,False,1,0,0,0,2025-03
34784f09-c3fb-4593-bdbb-c90b93f74a30,2025-06-17,standard,1-10,,software,seo,False,0,0,0,0,2025-06
e9947573-1a7d-4431-ae57-26fec77b1123,2025-02-27,free,11-50,APAC,telecom,ads,False,0,0,0,1,2025-02
9ce2e64f-d7fe-4515-8e83-6098da762a81,2025-05-06,free,1-10,APAC,manufacturing,partner,False,1,0,0,1,2025-05
72a6cfe7-f108-41a8-bec1-594d084ffad4,2024-03-07,standard,11-50,,telecom,outbound,False,0,0,0,1,2024-03
0d171c4b-b3a7-4cba-a08a-4694306ccd24,2025-05-18,free,1-10,EU,software,ads,False,1,0,0,1,2025-05
4c320148-50c9-4786-9b43-b3572e7961ea,2024-09-12,free,51-200,APAC,software,ads,False,0,0,0,0,2024-09
be80dbad-864b-4def-96a3-2cf6e77ab7d3,2024-11-09,standard,11-50,APAC,education,seo,False,0,0,0,1,2024-11
55cc1859-dd88-463f-a0f6-a523541d5de3,2025-01-24,standard,1-10,EU,healthcare,ads,False,0,0,0,0,2025-01
42038b4e-0f3e-492b-8e4a-50696b306b7f,2025-05-01,free,51-200,,manufacturing,seo,False,0,0,0,0,2025-05
a99ad794-d670-4f98-9059-ea3f10a6d698,2024-09-21,free,51-200,LATAM,energy,seo,False,0,0,0,1,2024-09
d2e13b3a-69d5-45f4-8a8d-bae7e012dabf,2025-04-17,free,11-50,,media,ads,False,0,0,0,0,2025-04
ec989b17-ec74-4a73-9377-a305ecb33696,2025-06-24,premium,11-50,EU,media,ads,False,0,0,0,0,2025-06
5e1a8320-7b0b-4a37-aa24-513394615b6a,2024-09-07,standard,11-50,,education,outbound,False,0,0,0,1,2024-09
ae7ddfbe-100a-4b7c-aece-c0582b838510,2025-03-09,free,11-50,,software,partner,False,0,0,0,1,2025-03
